Joueur;Poste;Cote;Var cote;Cote predite;Enchère moy;% achat;% achat tour 1;Q2 Toutes tailles;Q3 Toutes tailles;Q2 a 6 joueurs;Q3 a 6 joueurs;Q2 a 8 joueurs;Q3 a 8 joueurs;Q2 a 10 joueurs;Q3 a 10 joueurs;Note;Note serie;Note 1 an;Note M11;Nb match;Nb match serie;Nb match 1 an;Variation;Var serie;Var 1 an;But;Buts serie;Buts 1 an;%Titu;%Titu serie;%Titu 1 an;Temps;Tps serie;Tps 1 an;Tps moy;Tps moy serie;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;j19;j18;j17;j16;j15;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas creee ;Tirs;Tirs cadres;Corner gagne;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But evite;Action stoppee;Poss Def;Poss Mil;Centres;Centres rates;Degagements;But concede;Ballon perdu;Passe>Tir;Passe perfo;Depossede;Plonge stop;Nb matchs gagnes;Erreur>But;Diff de buts;Grosse occas manquee;Balle non rattrapee;Bonus moy;Malus moy;Index MPGStats;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J;Dispo@MPGLaurent?
Mbappe Kylian;A;43;4;;140;96.66;95.37;143;158;147;160;130;139;154;154;6.69;6.69;6.38;654.69;13;13;33;1.18;1.18;1.51;15;15;32;0.92;0.92;0.94;1060;1060;2736;81.54;81.54;82.91;71;86;5;2.87;7;6.5;8.5;5;7;7;6.5;5;5;7.5;8;8;6;0;5;4;7.5;8.5;7;7;7.5;8;5.5;4.5;3.5;7;7.5;8.5;8;0;0;3.5;5;4.5;0;5;6.5;0;5.5;4;null;2;2;3;64;45;11;0.8548;656;1;1;51.92;10;null;null;5;10;12;12;null;9;133;22;22;19;null;9;null;25;10;24;277.82;-87.62;33.76;7.50;Paris;FC Nantes;sam. 09/12 21:00;83.33333333333334;0.76648;0.77324;0.77887;Sursis (2sem.)
Adams Akor;A;24;3;;57;96.14;94.09;57;71;60;72;45;63;57;63;5.14;5.14;5.14;517.36;14;14;14;1.63;1.63;1.63;7;7;7;1;1;1;1136;1136;1136;81.14;81.14;81.14;162;162;6;3.43;4;3.5;4.5;3.5;7.5;4;5;8.5;4.5;5;3.5;5;6;7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;;null;null;null;1;40;30;5;0.6792;353;2;4;41.61;18;null;null;4;13;7;5;4;17;124;10;10;17;null;-3;null;-3;8;33;128.99;-59.79;14.21;0;Montpellier;Lens;ven. 08/12 21:00;32.467532467532465;0.41551;0.45199;0.45341;
Ben Yedder Wissam;A;25;-4;;54;95.89;73.52;52;66;53;70;51;56;58;65;5.54;5.54;5.55;538.29;14;14;33;1.15;1.15;1.41;6;6;19;0.71;0.71;0.82;916;916;2229;65.43;65.43;67.55;153;117;5;4.17;6;5;5;4.5;5;4.5;7;5;4.5;4.5;5;6.5;7;8;6;4.5;6.5;0;0;3;3;7;5;4.5;6.5;4;7;4;6;8.5;0;7;4;8;6;0;5;0;3.5;;null;null;null;null;21;14;13;0.7641;377;3;3;39.39;4;null;null;3;10;2;null;null;12;101;15;15;11;null;5;null;10;2;8;109.57;-26.06;12.07;4.50;AS Monaco;Rennes;sam. 09/12 17:00;37.17472118959108;0.55293;0.55464;0.57287;
Golovin Aleksandr;MO;23;6;;45;95.89;94.6;44;52;45;52;50;57;40;41;6.19;6.43;6.02;581.15;13;7;33;1.03;0.98;0.93;5;3;10;1;1;0.94;1137;612;2649;87.46;87.43;80.27;227;265;7;4.6;6.5;5.5;6;7.5;5.5;8;6;0;6;7;7.5;5;5;5;0;4.5;5;5;7;5;0;7;5.5;6.5;0;5.5;5.5;5;7;7;7;5.5;6;6;5;7;6;0;5.5;;1;2;2;3;22;14;14;0.8032;830;7;14;51.59;13;null;null;17;35;19;15;4;14;194;30;30;14;null;4;null;9;1;26;241.31;-102.04;0.18;4.50;AS Monaco;Rennes;sam. 09/12 17:00;37.17472118959108;0.55293;0.55464;0.57287;
Minamino Takumi;MO;13;0;;23;96.92;77.38;22;27;22;28;22;29;20;22;6.12;5.79;5.73;591.31;13;7;22;1.29;1.07;1.12;5;2;5;0.77;0.57;0.68;858;343;1250;66;49;56.82;172;250;7;2.6;7.5;7;5;5;5;6;5;0;5;4.5;7.5;7;8.5;6.5;4.5;0;0;4.5;5;0;5.5;0;0;0;5.5;5.5;0;0;0;5;5.5;0;0;0;0;0;5.5;0;3;;null;1;4;4;27;23;10;0.732;529;5;11;46.67;10;null;null;15;23;6;6;3;12;129;16;16;7;null;4;null;9;2;26;207;-76.38;1.67;0;AS Monaco;Rennes;sam. 09/12 17:00;37.17472118959108;0.55293;0.55464;0.57287;
Del Castillo Romain;A;15;-2;;29;92.03;69.92;29;35;29;34;31;36;24;28;6.04;6.04;5.79;568.31;13;13;31;1.2;1.2;1.05;5;5;7;1;1;0.74;1098;1098;2010;84.46;84.46;64.84;220;287;6.5;3;7.5;6;0;4.5;6;4.5;6;4.5;7;6;6;5;7.5;8;4;5.5;5.5;7;6.5;5;5;6.5;5;6.5;7;6.5;6;0;5;4.5;5;0;0;0;0;4.5;6;0;4;3;null;1;3;6;21;12;5;0.7104;819;4;10;44.28;12;null;null;11;28;64;51;2;12;259;39;39;22;null;2;null;3;null;33;235.75;-116.51;6.24;6.00;Brest;Strasbourg;jeu. 07/12 20:30;55.55555555555556;0.47699;0.48229;0.47815;
Dallinga Thijs;A;23;5;;32;89.97;58.35;30;38;31;40;29;32;28;30;5.31;6;5.14;516.69;13;1;35;0.95;0;1.01;5;1;14;0.69;0;0.71;809;28;2266;62.23;28;64.74;162;162;4.5;4.6;6;0;6.5;4.5;4.5;6.5;5;7;5.5;5.5;4.5;4;4.5;5;0;4;5;4;4.5;4;5;4;6;6;4.5;6;4;3.5;6;6.5;5;6;7.5;5;6;4;4.5;0;4.5;0;null;null;1;3;26;17;5;0.6421;328;2;5;58.7;11;null;null;5;7;3;1;14;9;102;6;6;7;null;-2;null;-3;6;20;104.76;-43.58;11.07;4.00;Toulouse FC;OL;dim. 10/12 17:05;27.397260273972602;0.42078;0.42265;0.42117;
Mostafa Mohamed;A;12;-3;;31;95.89;74.55;28;35;30;37;34;35;27;32;5.04;4.3;4.95;505.25;12;5;33;1.32;0.45;1.05;5;0;9;0.83;0.8;0.61;834;291;1929;69.5;58.2;58.45;167;214;5;2.4;5;4.5;4;4;4;0;0;3;7;5;7;7;5;5;0;4;3.5;0;4.5;4.5;5;7;6.5;4.5;5.5;6;5;4.5;4;5;5;4;4.5;6;4;5;5;0;1.5;2;1;1;null;null;23;15;11;0.6222;291;5;4;47.32;15;null;null;6;9;4;3;7;12;103;7;7;10;null;-3;null;-8;null;36;111.66;-56.94;11.63;5.00;FC Nantes;Paris;sam. 09/12 21:00;8.88888888888889;0.35765;0.35975;0.35699;Sursis (2sem.)
Vitinha;MO;17;2;;25;91;59.13;23;29;23;30;22;30;22;24;6.15;6.38;5.63;556.69;13;8;36;1.05;0.99;1.18;4;4;6;0.77;0.63;0.81;919;503;2535;70.69;62.88;70.42;230;423;6.5;4.25;7.5;7;5.5;7;5;6;7.5;5.5;0;5;7;7;4.5;5.5;6;4;5;5.5;6.5;5;5;8;7;4;3.5;5;5;6.5;6;4;5;5;5;5;7.5;5;4;0;5;;null;3;null;1;19;12;4;0.9075;869;10;11;48.81;6;null;null;22;33;11;8;10;7;116;18;18;12;null;8;null;21;1;18;196.54;-67.73;1;5.00;Paris;FC Nantes;sam. 09/12 21:00;83.33333333333334;0.76648;0.77324;0.77887;
Teuma Teddy;MD;14;-2;;26;93.32;80.46;26;31;26;31;24;26;25;25;5.75;5;5.75;550.25;12;2;12;1.27;1.41;1.27;4;0;4;0.83;1;0.83;869;168;869;72.42;84;72.42;217;217;7;3.5;6;4;0;5;5.5;0;7;6;5.5;4.5;7;8.5;5.5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;2;2;2;19;14;5;0.8204;750;10;19;50.93;22;null;null;19;25;33;27;1;12;140;14;14;5;null;3;null;4;1;22;219.33;-112.17;-9.62;0;Reims;OGC Nice;dim. 10/12 13:00;23.923444976076556;0.46793;0.4705;0.47015;
