Joueur;Poste;Cote;Var cote;Cote prédite;Enchère moy;% achat;% achat tour 1;Q2 Toutes tailles;Q3 Toutes tailles;Q2 à 6 joueurs;Q3 à 6 joueurs;Q2 à 8 joueurs;Q3 à 8 joueurs;Q2 à 10 joueurs;Q3 à 10 joueurs;Note;Note série;Note 1 an;Note M11;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;j19;j18;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Tirs;Tirs cadrés;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;Poss Def;Poss Mil;Centres;Centres ratés;Dégagements;But concédé;Ballon perdu;Passe>Tir;Passe perfo;Dépossédé;Plonge&stop;Nb matchs gagnés;Erreur>But;Diff de buts;Grosse occas manquée;Balle non rattrapée;Bonus moy;Malus moy;Index MPGStats;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Haaland Erling;A;46;-4;;147;79,07;74,42;135;182;132;151;113;154;187;200;6,17;0;6,01;561,47;15;0;36;1,35;0;1,4;14;0;31;1;0;0,97;1294;0;2940;86,27;0;81,67;92;95;4,5;3,29;0;0;4;6;6,5;7;5;7,5;6,5;4,5;4,5;6,5;7;8,5;6;5;8;0;4,5;7;5;6;8;5,5;7;7,5;0;7;4,5;6;7;3,5;5,5;4;8;4;4;6;4;3;;1;4;4;58;40;12;0,745;323;1;1;48,86;10;;;4;7;4;4;9;15;78;16;16;9;;6;;19;16;19;206,43;-63,02;26,16;0;Man. City;Brentford;sam. 23/12 16:00;33,33333333;0,82154;0,81355;0,82034
Mohamed Salah Mohamed;A;44;-1;;98;81,4;76,74;102;112;93;112;102;110;108;119;6,32;6,32;5,91;577,82;17;17;40;0,88;0,88;1,36;11;11;23;1;1;0,98;1473;1473;3440;86,65;86,65;86;134;150;5;4;6;7;5;5,5;6;7,5;4,5;6,5;7;7;5;7;7;7;7;6,5;6;6;5,5;7,5;6;5,5;5;6,5;7,5;5;6;5,5;2,5;9;6;6,5;7;3;4,5;3;4,5;5;6,5;3;;1;7;13;53;36;11;0,7699;830;2;8;35,61;5;;;8;27;20;16;;13;243;41;41;31;;10;;21;7;35;213,38;-74,54;15,7;5;Liverpool;Arsenal;sam. 23/12 18:30;42,37288136;0,69973;0,71381;0,70649
Son Heung-Min;MO;34;1;;71;81,4;79,07;78;83;69;80;72;83;85;98;6,09;6,09;5,83;576,29;17;17;39;1,59;1,59;1,44;10;10;17;1;1;0,95;1428;1428;3202;84;84;82,1;143;188;6;3,4;5,5;8,5;5;6;5;4;4;6,5;7,5;5,5;6,5;8;4,5;9;7;7;4;7;5,5;4;5,5;6,5;7;3;6,5;6,5;5;6,5;7,5;5,5;4,5;6,5;3,5;6;5,5;4;8;5;6;1;;;4;9;43;34;8;0,8451;643;5;7;47,17;8;;;12;9;16;13;4;18;133;31;31;15;;6;;12;3;26;200,55;-58,33;6,38;5;Tottenham;Everton;sam. 23/12 16:00;56,49717514;0,604;0,61842;0,58074
Bowen Jarrod;A;30;2;;51;79,07;65,12;49;58;54;64;46;52;49;49;6;5,38;5,76;540,13;16;4;38;1,25;1,6;1,25;10;2;14;1;1;0,95;1439;360;3243;89,94;90;85,34;144;232;6;3;7;4;6,5;4;0;7;6;5;6;5,5;7,5;6;4;7;7,5;5,5;7,5;5;8;4;6;5;4,5;7;6,5;6;5;4;6;3;7;5;6;5,5;8;5;6;5,5;2;;;2;1;4;43;30;16;0,7629;612;13;11;44,56;14;;;25;23;24;23;7;27;170;11;11;31;;1;;-2;7;38;221,69;-103,02;16,69;6;West Ham;Man. United;sam. 23/12 13:30;40;0,51377;0,51179;0,51643
Watkins Ollie;A;35;1;;67;83,72;76,74;60;74;55;72;63;76;66;76;5,91;5,91;5,73;546,18;17;17;39;1,46;1,46;1,39;9;9;21;1;1;1;1489;1489;3360;87,59;87,59;86,15;165;160;6;3,89;7;4,5;5,5;7;6;6;3,5;5;7,5;6;9;7;6,5;3;6;6;5;7;3;5;4;4;5;4;8,5;6;6,5;6;7;4,5;6,5;6;6;7;6;4;4,5;6,5;4;;;;6;5;50;33;7;0,7588;487;3;5;38,97;9;;;8;20;3;2;10;21;146;26;26;23;;9;;16;13;37;180,18;-56,83;14,81;0;Aston Villa;Sheffield;ven. 22/12 21:00;84,74576271;0,69466;0,64796;0,63527
Hwang Hee-Chan Hee-Chan;A;18;-1;;35;79,07;72,09;33;40;39;49;32;38;32;36;5,62;5,62;5,29;517;17;17;33;1,01;1,01;0,98;8;8;11;0,82;0,82;0,7;1224;1224;2031;72;72;61,55;153;185;6;2,25;3,5;4,5;6,5;4,5;6;4;6;6;6;7;7;5,5;6;6,5;5,5;6;5;3;6;4,5;4,5;4,5;6;5;6;4,5;0;0;6;0;0;0;0;5;4;5;5;5,5;1;1;;;2;3;29;16;11;0,7987;580;6;6;44,6;17;;;30;18;9;7;7;17;142;12;12;15;;-3;;-8;4;33;136,58;-56,73;12,86;4,5;Wolverhampton;Chelsea;dim. 24/12 14:00;27,54820937;0,41235;0,42255;0,41068
Solanke Dominic;A;22;4;;33;86,05;69,77;30;41;33;45;36;41;22;25;5,09;5,09;4,9;485,63;16;16;35;1,42;1,42;1,31;8;8;11;1;1;1;1428;1428;3130;89,25;89,25;89,43;179;285;5,5;2,75;0;7;5,5;6;4;8;3,5;4,5;5,5;3;3;6;5;6;4;4,5;6;4;4,5;3,5;4;7;5;4;8;5,5;6,5;4;4;3,5;4;5;5;0;0;0;4;4;3,5;;;1;1;;48;26;9;0,7792;543;3;4;31,1;17;;;9;15;5;2;21;26;193;13;13;45;;-2;;-9;6;66;137,94;-84,41;12,08;0;Bournemouth;Nottingham Forest;sam. 23/12 16:00;41,15226337;0,42528;0,43897;0,41162
Mbeumo Bryan;A;15;-7;;33;83,72;67,44;33;41;35;40;31;43;38;39;5,47;0;5,51;502,6;15;0;37;1,36;0;1,37;7;0;13;1;0;0,95;1288;0;3004;85,87;0;81,19;184;231;5;2,14;0;0;5;6;4;4,5;6;7,5;8;4,5;5,5;4,5;3,5;6;4,5;7,5;5;6;8,5;7,5;4;5;6,5;7;5;4;7;5;5;5;3,5;5;5;7,5;4;5;7,5;5;4;3;;1;3;2;41;24;12;0,7496;756;5;8;36,63;17;;;25;23;44;35;8;19;210;22;22;19;;-1;;2;6;37;177,63;-90,04;11,6;6;Brentford;Man. City;sam. 23/12 16:00;1,01010101;0,45264;0,4654;0,49457
Wilson Callum;A;19;-3;;33;86,05;58,14;30;38;30;42;28;35;33;46;5,46;5,75;5,34;491,58;12;2;31;0,96;0,35;1,19;7;0;17;0,5;0,5;0,52;598;116;1626;49,83;58;52,45;85;96;5;2,71;5,5;6;0;0;0;0;5;7;6;4;0;6,5;5;6;4;4,5;6;4;4;6,5;4;7,5;7;6,5;4;6;6;0;4;4;7,5;4,5;0;6;4;6;4,5;4;5;2;;;1;1;26;20;4;0,6073;221;;2;30,95;11;;;1;10;2;2;1;7;95;4;4;24;;2;;14;5;24;128,21;-51,96;14,96;0;Newcastle;Luton Town;sam. 23/12 16:00;61,72839506;0,59355;0,59163;0,6056
Isak Alexander;A;20;-4;;52;86,05;72,09;48;62;31;41;50;74;58;68;5,25;0;5,4;477,67;12;0;30;1,44;0;1,23;7;0;14;0,83;0;0,8;820;0;2074;68,33;0;69,13;117;148;5,5;2,86;0;4;3;5;6,5;0;0;0;4,5;7,5;6;6;0;4,5;4,5;4;7,5;4,5;4,5;6;4,5;7;5;8;4;5,5;6;7;6,5;5;5,5;5;4,5;0;4,5;6;0;0;3;1;;;;1;25;17;5;0,8038;270;2;;36,36;9;;;3;8;2;2;3;13;65;6;6;6;;1;;12;7;17;116,88;-50,47;15,52;0;Newcastle;Luton Town;sam. 23/12 16:00;61,72839506;0,59355;0,59163;0,6056
