Joueur;Poste;Cote;Var cote;Cote prédite;Enchère moy;% achat;% achat tour 1;Q2 Toutes tailles;Q3 Toutes tailles;Q2 à 6 joueurs;Q3 à 6 joueurs;Q2 à 8 joueurs;Q3 à 8 joueurs;Q2 à 10 joueurs;Q3 à 10 joueurs;Note;Note série;Note 1 an;Note M11;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;j19;j18;j17;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Tirs;Tirs cadrés;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;Poss Def;Poss Mil;Centres;Centres ratés;Dégagements;But concédé;Ballon perdu;Passe>Tir;Passe perfo;Dépossédé;Plonge&stop;Nb matchs gagnés;Erreur>But;Diff de buts;Grosse occas manquée;Balle non rattrapée;Bonus moy;Malus moy;Index MPGStats;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Martínez Lautaro;A;45;2;;119;85,71;85,71;114;141;93;110;128;151;103;106;6,5;6,5;5,96;542,19;16;16;39;1,24;1,24;1,38;15;15;29;0,94;0,94;0,72;1344;1344;2701;84;84;69,26;90;93;6;3;7;7;6;6,5;5,5;6,5;5,5;6;6;9;4;5;7;8;7;8;4,5;8;4,5;6,5;6;8;7;6;4,5;5;4;4,5;4;6,5;3,5;6;5,5;7;7,5;4;6;6;10;1;;2;2;2;53;35;11;0,7936;666;15;10;44,65;20;;;9;21;8;7;6;6;169;13;13;25;;12;;32;5;32;228,55;-59,04;26,43;6,5;Inter;Lecce;sam. 23/12 18:00;83,33333333;0,8056;0,8074;0,80436
Berardi Domenico;A;28;5;;61;90,48;90,48;54;68;45;56;61;82;44;50;6,27;8;6,09;592,31;13;1;32;1,3;0;1,13;9;2;20;1;1;0,97;1156;90;2645;88,92;90;82,66;128;132;5;3,11;8;0;5,5;8;5,5;5;5;5;6;5;7,5;7,5;5,5;8;0;0;5,5;7;6,5;7;6,5;5;7,5;0;0;5;6;6;7;0;5;0;4,5;6;8;5,5;4,5;6;;5;;2;3;4;43;33;13;0,6918;730;9;6;38,69;22;;;15;23;45;37;8;21;212;24;24;21;;-1;;-1;2;24;277,85;-132,45;16,78;0;Sassuolo;Genoa;ven. 22/12 18:30;45,66210046;0,39764;0,40332;0,40058
Giroud Olivier;A;27;1;;55;90,48;80,95;51;68;38;45;60;72;56;58;5,73;6;5,39;460,62;13;2;33;1,18;0;1,08;8;1;16;0,92;1;0,85;945;180;2325;72,69;90;70,45;118;145;5;3,38;6;6;0;0;6;3,5;8;5;4,5;5;0;5,5;5;6;7;7;6;6,5;8;4,5;6;4,5;4,5;0;0;4,5;5;0;6;4,5;5;4,5;6;4;5;4;5;5;6;3;;;4;6;27;19;5;0,6512;313;3;5;44,83;14;;;1;4;;;7;11;100;18;18;5;;3;;6;1;24;152,5;-54,38;17,82;5,5;Milan;Salernitana;ven. 22/12 20:45;72,46376812;0,69264;0,70327;0,68436
Çalhanoglu Hakan;MO;27;2;;57;85,71;85,71;58;65;52;54;62;72;60;60;6,56;6,56;6,09;509;16;16;35;1,15;1,15;1,05;7;7;8;1;1;0,89;1316;1316;2612;82,25;82,25;74,63;188;327;6,5;3,86;5,5;7,5;7;5;7,5;8;5,5;7;6,5;4,5;5;7;6,5;8;8;6,5;5,5;5,5;0;0;6;8;5;6;5;0;0;4,5;5,5;6;5;5,5;6;6,5;6;5;6;5;10;6;;1;2;2;32;20;3;0,9102;1284;9;20;55,12;28;;;37;46;23;16;11;6;130;25;25;3;;12;;32;;13;279,63;-97,03;-3,3;6;Inter;Lecce;sam. 23/12 18:00;83,33333333;0,8056;0,8074;0,80436
Thuram Marcus;A;25;5;;64;95,24;95,24;64;80;43;60;68;83;66;71;6,19;6,19;6,19;534,69;16;16;16;1,09;1,09;1,09;7;7;7;1;1;1;1221;1221;1221;76,31;76,31;76,31;174;174;6,5;3,57;7;6,5;7;6;6;4,5;7;7;5;7;4;5;7;8;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;;;;6;2;44;29;12;0,7422;509;3;6;56,38;14;;;6;15;6;4;7;6;143;12;12;16;;12;;32;6;43;170,94;-44,81;11,34;0;Inter;Lecce;sam. 23/12 18:00;83,33333333;0,8056;0,8074;0,80436
Zirkzee Joshua;A;19;4;;33;90,48;80,95;32;38;28;34;32;38;26;35;5,63;5,63;5,22;478,5;16;16;29;0,92;0,92;0,9;7;7;8;0,94;0,94;0,62;1326;1326;1899;82,88;82,88;65,48;189;237;5,5;2,71;5,5;8;4,5;6,5;5,5;6;6;5,5;6;5;5;5;4,5;6,5;6;4,5;6;4,5;0;4,5;0;4,5;5;3,5;4,5;5;0;0;4,5;4,5;0;0;0;5;5,5;4,5;0;0;6,5;1;;1;2;7;35;26;6;0,749;693;3;9;36,97;13;;;14;22;1;1;23;9;229;22;22;33;;5;;8;1;55;140,46;-57,24;10,81;5;Bologna;Atalanta;sam. 23/12 15:00;37,31343284;0,55454;0,58755;0,5726
Lukaku Romelu;A;23;0;;80;85,71;76,19;83;89;74;74;86;93;65;70;5,5;0;5,46;536,92;13;0;34;1,4;0;1,28;7;0;16;0,92;0;0,82;1089;0;2504;83,77;0;73,65;156;157;4,5;3,29;0;6;5;6;4,5;6;4;5;8;6,5;3;6,5;7;4;0;0;5,5;7;6;7,5;7;0;7,5;8;4,5;5;4,5;4,5;4,5;4,5;4,5;5,5;5;5;4,5;4,5;0;4;4,5;;;;1;2;28;20;6;0,7104;371;;1;37,08;12;;;7;15;8;6;7;10;114;9;9;12;;4;;12;3;21;125,15;-48,31;13,59;0;Roma;Napoli;sam. 23/12 20:45;34,36426117;0,55312;0,57623;0,55032
Osimhen Victor;A;35;-1;;74;95,24;66,67;61;89;91;118;59;70;80;86;5,38;5;5,8;442,42;12;4;33;1,63;1,83;1,45;7;1;24;0,83;0,75;0,91;910;288;2589;75,83;72;78,45;130;108;5;5;7;4;3;6;0;0;0;0;6;6;6;2,5;5;4,5;6,5;8;7;7,5;5,5;5;5;6,5;5;5;4;0;0;8;5;4,5;6,5;6;6,5;8;6;7;8,5;6,5;3,5;2;;;2;3;42;25;12;0,7342;289;1;2;41,75;13;;;2;9;9;9;8;11;99;8;8;13;;2;;6;5;34;152,91;-82,84;15,37;6;Napoli;Roma;sam. 23/12 20:45;40,16064257;0,70781;0,6883;0,69322
Bonaventura Giacomo;MO;23;2;;40;100;100;41;44;30;31;42;45;46;52;6,2;0;5,77;488,4;15;0;33;1,16;0;1,02;6;0;8;0,93;0;0,73;1159;0;2138;77,27;0;64,79;193;267;5,5;3,83;0;6;8;5,5;7;5,5;5;5,5;7;6;5,5;8;6,5;4,5;5;8;5;0;0;5,5;5,5;6;0;0;4,5;5;7;5;0;6,5;5;5;4,5;6;6;5;4,5;6,5;6,5;;;1;2;2;28;21;11;0,8433;777;4;5;46,81;7;;;15;38;26;17;3;11;136;25;25;18;;2;;6;;22;200,23;-68,53;3,25;5;Fiorentina;Monza;ven. 22/12 20:45;39,5256917;0,57988;0,55619;0,58292
Soulé Matías;A;15;0;;36;90,48;85,71;35;40;31;38;38;40;35;44;6,07;6,07;5,8;579,93;14;14;22;1,04;1,04;0,98;6;6;7;1;1;0,77;1217;1217;1515;86,93;86,93;68,86;203;216;7;2,5;4;5,5;5;7;5,5;6;7;7;7;6;7,5;5;7;5,5;0;0;0;0;0;0;0;0;5;5,5;0;0;0;5;7;0;0;0;0;0;5;0;5;5;2;1;;1;1;5;33;19;12;0,8173;1000;8;15;46,05;10;;;25;39;20;14;4;20;273;39;39;40;;-2;;-4;5;42;250,31;-132,06;7,8;0;Frosinone;Juventus;sam. 23/12 12:30;18,69158879;0,35356;0,34762;0,3572
